rowID,userName,currentLevel,trackCount,crashNumber,crashLocation,dateTimeStamp
1,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,1,"(7,9)",08/04/2016 01:41:51
2,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,3,"(5,7)",08/04/2016 01:41:54
3,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,2,"(5,7)",08/04/2016 01:41:54
4,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,4,"(5,7)",08/04/2016 01:41:55
5,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,5,"(5,7)",08/04/2016 01:41:56
6,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,6,"(5,7)",08/04/2016 01:41:56
7,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,7,"(3,1)",08/04/2016 01:42:16
8,9984DA33-4B0C-5D1B-8E42-C2691DD06216,35,1,8,"(1,5)",08/04/2016 01:42:19
9,9984DA33-4B0C-5D1B-8E42-C2691DD06216,36,1,1,"(7,7)",08/04/2016 01:46:41
10,9984DA33-4B0C-5D1B-8E42-C2691DD06216,36,1,2,"(7,7)",08/04/2016 01:46:42
11,9984DA33-4B0C-5D1B-8E42-C2691DD06216,36,1,3,"(7,7)",08/04/2016 01:46:42
12,9984DA33-4B0C-5D1B-8E42-C2691DD06216,36,1,4,"(-1,-1)",08/04/2016 01:46:45
